,Function,Fit,Parameters,Cost,Trainset,EML
20,Continuous,exponweib,0.9025489189293996 1.0102122762502406 1.0068927595732973 1.3893824159783552,4.847558738410881,310,0.003561011753658233
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.8394368098368705,360,0.001879577593296302
23,Continuous,exponnorm,607.3113952241724 1.001748197243134 0.0022372908124720222,4.83754253219127,360,0.0014874166535023756
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.817784040767335,410,-0.0026030653218909274
26,Continuous,gamma,1.0225951690611579 1.0006854409440964 1.4716429071163357,4.830479242107087,410,2.514607036841375e-05
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.801609020213378,460,-0.005951682815402086
29,Continuous,genpareto,-0.0013922652347286451 1.0043930465312036 1.5167469959415847,4.830475034498785,460,2.4274994457371195e-05
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.829331604343981,510,-0.00021244249262170888
32,Continuous,genpareto,-0.03725201432028276 1.0036485443304417 1.4890989274645776,4.832509858529786,510,0.00044553240947557633
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.087706543304337,10,0.053277371483277984
2,Continuous,beta,0.8569600250631417 0.639983605861923 1.151442715388169 2.984621410277099,5.211199935551329,10,0.07884346781260483
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,5.09820397008622,60,0.055450590790258394
5,Continuous,exponpow,0.7432830684939413 1.1903523417972424 2.7149429113524204,4.897886604034632,60,0.013980087925869928
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.958894362188296,110,0.026610158194514996
8,Continuous,pearson3,2.03311223183079 2.363091269616631 1.373321031509638,4.836980638713341,110,0.0013710912167955672
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.881435319834274,160,0.01057427722657143
11,Continuous,pearson3,2.0900773673372046 2.4273121856105764 1.4890748655152586,4.83373845660249,160,0.0006998816997919826
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.833782219629012,210,0.0007089416966983793
14,Continuous,exponweib,1.1545643195668818 0.8753870159241423 1.0430384694148387 1.272119869172401,4.832578793939179,210,0.0004598036938332374
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.842803427257882,260,0.0025765482062456387
17,Continuous,weibull_min,1.0632016349279994 1.0000008436422876 1.6879015628044298,4.844411923521182,260,0.002909545540472545
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.85463285124116,310,0.005025522905005583
20,Continuous,beta,1.065375730497756 16.566475122487603 0.9995661404040166 26.727968436333683,4.843013298622864,310,0.002619996616207217
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.827673307120742,360,-0.0005557498208970988
23,Continuous,genpareto,0.03876346469808273 1.008635424869892 1.5339117740113526,4.833428098266107,360,0.0006356300748247113
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.8853112249547275,410,0.011376682617417342
26,Continuous,exponpow,0.7032507186855579 1.0048958968235562 2.5412473607133688,4.8435376090312126,410,0.002728541455428188
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.849762090259169,460,0.00401715847192205
29,Continuous,gamma,1.097155358432497 1.0024322626023179 1.3776215203839999,4.8322680209945865,460,0.0003954662350151027
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.861018792050189,510,0.006347565930194128
32,Continuous,exponweib,0.9982430111778169 0.9804081783931495 1.0012847287543687 1.384827255036004,4.83564347979542,510,0.0010942672258016802
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,4.839776012970851,10,0.0019498007837096159
2,Continuous,weibull_min,0.6640609917374436 1.1799296896204392 1.4047788181527365,4.885395860397918,10,0.011394204185609115
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,4.9246445886222645,60,0.019519632990579436
5,Continuous,halfnorm,1.0615243956996356 1.9006399686036541,4.958063481149612,60,0.026438145876392507
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.956441972424951,110,0.02610245465033398
8,Continuous,exponnorm,23.097146358881773 1.0408011665380594 0.06255570355279275,4.830741055119064,110,7.934764798064548e-05
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.853674494021513,160,0.004827119957693346
11,Continuous,exponpow,0.7060130443817894 1.007437384650075 2.5952121293631816,4.8417134464655,160,0.0023508960200991982
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.916117270679782,210,0.01775427350063795
14,Continuous,exponnorm,42.52879879886163 1.0525321920085096 0.033788807690594606,4.830882901483033,210,0.00010871324997132378
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.87094802181875,260,0.008403154817341545
17,Continuous,exponnorm,123.50324955373883 1.010048981091475 0.01381773598353217,4.8429126082402885,260,0.0025991512902061296
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.966022906381559,310,0.028085937944481793
20,Continuous,lognorm,1.0753515876834627 0.9552666925400297 0.9161717843947086,4.8611893930103705,310,0.006382884423779284
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.845375367940553,360,0.0031090016602326256
23,Continuous,lomax,8.237501765783605 1.0071009045113266 12.560081346331543,4.835643045757372,360,0.001094177369507767
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.833386238046401,410,0.0006269640046011246
26,Continuous,lomax,29.725286706651197 1.003440238177257 43.95719028246805,4.831113905743679,410,0.0001565366765750572
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.81882203638081,460,-0.0023881753155458544
29,Continuous,weibull_min,0.930522960094319 1.001335297705391 1.4203600960380705,4.8360056616936955,460,0.0011692475719688635
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.800958016728987,510,-0.006086456162298077
32,Continuous,lomax,66.50056556464924 1.0006719918256883 94.77052023304935,4.831571862667382,510,0.00025134475183347273
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.417011341292577,10,0.12145136876273091
2,Continuous,exponweib,0.2281971414758958 0.7937548091928073 1.0628026436560916 2.840413954519084,5.4467676938263425,10,0.12761164796022936
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,4.923949036503423,60,0.019375637007079307
5,Continuous,gamma,0.9662617896332499 1.035244996491556 1.5768383561845285,4.831587347966719,60,0.0002545505804801369
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.93250337526512,110,0.021146590455162026
8,Continuous,exponnorm,23.106022622069858 1.0838960995748523 0.06392431488021366,4.833075255262713,110,0.0005625831040535996
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.853492108392986,160,0.004789361754900758
11,Continuous,weibull_min,0.8806431016813367 1.013032009467453 1.503535916414111,4.841480648229918,160,0.002302701197624304
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.971492831139679,210,0.029218343660575352
14,Continuous,exponnorm,1682.5077798113139 1.0040215248812543 0.0008203221487856449,4.835594004386035,210,0.001084024628531782
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.983296189954535,260,0.03166192224384613
17,Continuous,genpareto,-0.06301613707647181 1.0026193453500967 1.6403172238600685,4.834658867673143,260,0.0008904288834649908
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.868803506379415,310,0.00795918864794428
20,Continuous,exponpow,0.7132710192730131 1.014788166915305 2.7250217115658995,4.842867419560763,310,0.0025897961489089252
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.852067850131951,360,0.004494506109291558
23,Continuous,pearson3,2.1096074174160457 2.5766603918655364 1.6603865069754424,4.834168010868308,360,0.0007888097431370392
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.80962692778238,410,-0.004291783499827517
26,Continuous,exponnorm,658.7539226831382 1.0007015906861438 0.002294484247355918,4.830475034498785,410,2.4274994457371195e-05
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.817541733652794,460,-0.0026532287105461363
29,Continuous,beta,0.9698524395592799 88.48698578284457 1.0003500622827786 143.8315014570852,4.831764582626404,460,0.00029124240908684793
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.82304711139205,510,-0.0015134833764018822
32,Continuous,genpareto,0.13677758254742794 1.0121782209683912 1.3398048877030226,4.837351468370688,510,0.0014478618566572715
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.030662154006441,10,0.04146781369802599
2,Continuous,weibull_min,0.7841831463232052 1.0163956391746798 2.1865302674476257,4.882961161043239,10,0.010890162980633696
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,4.967205742620538,60,0.028330813436824608
5,Continuous,exponnorm,24.30498878193612 1.0881270782476666 0.0469306237840954,4.8666752987044655,60,0.007518598577199926
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.862456587196204,110,0.00664522403591172
8,Continuous,weibull_min,1.0116414917248728 1.0526190743129127 1.486426915089973,4.83180692884921,110,0.0003000090936175423
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.823566609424137,160,-0.001405934814575387
11,Continuous,exponnorm,1993.2532133582117 1.0013029181723292 0.0008331031883859899,4.8380924210737675,160,0.0016012568508162973
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.919151535200811,210,0.018382439086033195
14,Continuous,weibull_min,1.0132174070798836 1.000586396656736 1.489415545941257,4.830563714956416,210,4.26339777281276e-05
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.888813884829383,260,0.012101817283612336
17,Continuous,exponweib,0.7285328029014876 1.2694184092604082 1.0124069923089463 2.161967614858385,4.853647499224727,260,0.004821531386819445
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.967805962801522,310,0.028455073420995687
20,Continuous,beta,0.9252984983108365 29.770390500436985 1.0003471005029878 51.963295176834855,4.832037976563791,310,0.00034784151622875044
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.895129602090925,360,0.013409322348939583
23,Continuous,exponweib,0.8513004780498581 1.037846555293561 1.000629342138917 1.7348553920087044,4.832231708892715,360,0.0003879487583512366
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.81154061099669,410,-0.0038956051415312974
26,Continuous,exponnorm,47.83441646167044 1.036164574942096 0.02994740977232324,4.830966223913241,410,0.00012596299296023438
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.892977876732838,460,0.012963863553305368
29,Continuous,genpareto,-0.043670457142430036 1.00422711071527 1.577776101114488,4.832083655815534,460,0.00035729821774987687
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.933825798096549,510,0.02142036372255116
32,Continuous,genpareto,0.06815177815512949 1.0031897298007928 1.4578324942742944,4.833359554251529,510,0.0006214398185882052
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.303709514094524,10,0.09799517102025838
