,Function,Fit,Parameters,Cost,Trainset,EML
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,12.127696898379469,460,0.015936219046602855
29,Continuous,lognorm,0.008136352114893879 -234.46908869047945 242.4387874436444,11.938099284450125,460,5.364178155153945e-05
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,11.957224083289466,510,0.0016557246820124852
32,Continuous,alpha,20.226861192371047 -31.616336895080053 796.8410721202576,11.962774064508652,510,0.0021206461739367312
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,12.729577926464417,10,0.06635574561559313
2,Continuous,weibull_max,0.5894806774761063 10.370687383909063 1.6658299459074353,12.741437297870473,10,0.0673492042291694
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,11.979086943031433,60,0.0034871747297761345
5,Continuous,invgauss,0.019603444481240906 -7.119350319978988 766.8045513210084,11.962569452009845,60,0.002103505800941776
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.252347479130183,110,0.02637818843048194
8,Continuous,cosine,7.7169107897105995 1.7171399049577658,12.14660636232028,110,0.017520263359484176
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.20818454818443,160,0.022678663165050936
11,Continuous,beta,5.070604585402776 2.9268863961740923 0.38473567447153006 12.129949628587156,12.279451863325779,160,0.02864872057108479
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,12.01311473415528,210,0.006337680126352162
14,Continuous,gamma,4639.211173838603 -124.68888362033019 0.02862645301718988,11.939293591629639,210,0.00015368880041276558
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,11.969532680078341,260,0.0026868148707135183
17,Continuous,weibull_min,3.689941119800652 1.7688885863697243 7.088733976821169,11.953821571489891,260,0.0013706965351280428
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,12.008071236625979,310,0.005915186733449631
20,Continuous,beta,7.972333907388106 8.179447562092953 -0.020937298010713187 16.090688708927434,11.952886261566322,310,0.0012923456961064113
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.96586571670992,360,0.0023796336366250117
23,Continuous,weibull_max,3.804570394578808 15.142369116583257 7.869140897313779,11.958475635760593,360,0.0017605671344672958
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.059462394708364,410,0.010220220019829099
26,Continuous,dweibull,1.3238317123675825 7.9414825975060825 1.6761555624646076,11.958979245305438,410,0.0018027544665842404
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.99986520863349,460,0.005227768411410874
29,Continuous,dweibull,1.3923997483857826 7.947606278117844 1.6878073927691797,11.951742539220188,460,0.001196536164774402
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,12.028439765972525,510,0.007621456841060527
32,Continuous,dweibull,1.2484403791786498 8.158586522827799 1.698692225801453,11.948614723413437,510,0.0009345192796880372
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,13.757233541190013,10,0.15244237595064383
2,Continuous,beta,0.3854581580204684 0.3731488470448143 4.3603711439272 6.307686568840444,12.482510519082187,10,0.04565892825539921
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,11.958975695073306,60,0.001802457063916733
5,Continuous,dweibull,1.2767982995355265 8.248659409102379 2.0146200451097287,12.01992714999443,60,0.006908355667486758
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,11.987968986163798,110,0.004231222787120771
8,Continuous,laplace,7.784337317195657 1.6544901269385761,12.184258583421716,110,0.020674386971330904
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.056695679990451,160,0.009988452544664676
11,Continuous,weibull_min,3.079573086539379 2.3365533625928276 6.177876630838339,11.946918631626566,160,0.0007924378035802836
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,12.08248728561091,210,0.012149013326876429
14,Continuous,beta,772.0597113322198 27.195764740279945 -291.1279190040474 309.52373489050944,11.978684594800631,210,0.003453470050003386
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,12.022184468890014,260,0.0070974510945227345
17,Continuous,loggamma,11.271586581264085 -7.2859853695440115 6.495970310556407,11.959156941142023,260,0.001817640032893634
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,12.176793239580213,310,0.020049015702592113
20,Continuous,loggamma,957.8514480872673 -404.34328215459595 60.05480582640364,11.948124888724331,310,0.0008934858661572246
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.939343907370626,360,0.00015790374609331838
23,Continuous,dgamma,1.4055980955120135 8.093689197049816 1.1688643728069592,11.96677219242198,360,0.002455569036007359
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.02081256125389,410,0.0069825264993252254
26,Continuous,loggamma,694.438785393515 -312.5077501422322 48.99416692835922,11.944241304101139,410,0.0005681582865274085
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.985044814617755,460,0.003986265165799624
29,Continuous,pearson3,0.10133230232027249 7.975301543048561 2.055502529188116,11.939638231800654,460,0.0001825592805382481
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,11.95456781404686,510,0.0014332092156617061
32,Continuous,beta,293.8429555322716 18979533.832633987 -26.011046986732254 2208288.7140680943,11.947132683367627,510,0.0008103689011593169
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,13.598563015518359,10,0.13915055844599153
2,Continuous,beta,0.8109058365597158 0.7760705120302821 4.8874963657310335 6.395835006493734,12.82088254254524,10,0.07400432615152716
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,12.522631077895516,60,0.04901982432399221
5,Continuous,dgamma,1.0400463619881537 8.320781375758685 1.3851855606880197,11.983917628574133,60,0.0038918408792335433
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.18602930307896,110,0.020822720018293255
8,Continuous,cosine,7.893784049675715 1.7290500309019738,12.135184692927469,110,0.016563471009266056
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.188340627815728,160,0.021016339510414185
11,Continuous,beta,269294.0882394427 286.28367630949856 -30144.78288223654 30184.911035281082,11.942667338110963,160,0.0004363072788409895
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,12.095665436140234,210,0.013252945964290662
14,Continuous,alpha,20.51313383919822 -31.252615209414714 801.5316854437597,11.96145358479505,210,0.0020100296917797806
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,11.953072342271227,260,0.00130793366217804
17,Continuous,invgauss,0.019100698884174525 -6.630421699721566 766.6668314847461,11.955790511808772,260,0.0015356345113862505
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,11.981233190913782,310,0.0036669657467351627
20,Continuous,dweibull,1.3714366565798457 8.010447190859143 1.6867073345853738,11.943114580514543,310,0.00047377273995012875
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.95333530329623,360,0.0013299618866411498
23,Continuous,loggamma,654.3987417974424 -314.7209388748248 49.7939302710208,11.9397809760407,360,0.0001945169543437577
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.052973612124317,410,0.009676655211119828
26,Continuous,alpha,17.946348339415096 -28.836103090432964 658.2517591110677,11.953929377557039,410,0.0013797274409270122
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.958957378927423,460,0.0018009227218110258
29,Continuous,exponweib,6.200972827113981 11.103585376020977 -34.362400672573244 39.59421209258957,11.944380130144479,460,0.0005797877333018437
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,11.95888195035408,510,0.0017946040761314603
32,Continuous,norm,8.002582651934215 1.9700578708300347,11.93822758056755,510,6.438913725708665e-05
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,14.336738739899946,10,0.20098748104589803
2,Continuous,beta,0.5509769500114783 0.32655119156987034 3.9349724043577194 5.419708335579824,14.325201848346754,10,0.20002103654433184
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,12.369724130122059,60,0.0362108212883309
5,Continuous,laplace,8.132902650707464 1.353521763812902,12.050354839625088,60,0.00945728084402417
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.022506930590065,110,0.007124463685873131
8,Continuous,dweibull,1.5472716472476349 7.582069373934299 1.8921578722175947,11.985385348178157,110,0.004014791635475829
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.181408503196453,160,0.020435635974146892
11,Continuous,laplace,7.915141078913987 1.3539401652231222,12.146483104006826,160,0.017509938020222625
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,11.99724161872328,210,0.005007990490174657
14,Continuous,laplace,7.805735675136736 1.586567983013297,12.14951654604947,210,0.017764049222483386
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,11.96193632227134,260,0.002050468572349048
17,Continuous,exponnorm,0.5470990960348762 7.002322391940714 1.7173549988990393,11.956347580629155,260,0.0015823001228267989
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,12.043913281702412,310,0.008917672041498164
20,Continuous,beta,6.899861523813499 5.933039803450171 -0.27380530680481907 15.622901300420372,11.99307533976644,310,0.004658981628362606
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,11.946104375503651,360,0.0007242276319556682
23,Continuous,weibull_min,3.290918127707841 1.9102233791188197 6.825581105075306,11.94522310253865,360,0.0006504034647198308
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.02681014680978,410,0.007484943771468008
26,Continuous,loggamma,460.0265061176119 -263.6220834252065 44.31314495559556,11.941788428682578,410,0.0003626811048823227
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.972909340940381,460,0.0029696774865859495
29,Continuous,norm,7.986280631904591 1.900025767470789,11.944016557933681,460,0.00054933131768695
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,12.140207181132576,510,0.016984204452726723
32,Continuous,exponnorm,0.23203818245441665 7.567174162164877 1.9490096589200503,11.937585177282145,510,1.0575064366982933e-05
